Customer ID,Age,Gender,Subscription Status,Previous Purchases,Frequency of Purchases,Location
3536,68,Female,No,20,Monthly,Mississippi
3037,50,Female,No,7,Fortnightly,Vermont
4711,63,Male,No,,Quarterly,Houston
4700,61,Other,No,,Quarterly,Chicago
4164,41,Female,No,,Monthly,New York
3095,22,Female,No,9,Weekly,Georgia
4704,39,Female,Yes,,Monthly,Phoenix
1560,43,Male,No,23,Fortnightly,Oregon
3697,63,Female,No,26,Annually,Connecticut
1494,70,Male,No,44,Quarterly,North Dakota
860,47,Male,Yes,7,Monthly,Wisconsin
2220,33,Male,No,16,Fortnightly,Minnesota
845,59,Male,Yes,44,Bi-Weekly,Missouri
1160,66,Male,No,46,Every 3 Months,New Hampshire
3230,54,Female,No,24,Monthly,Connecticut
25,18,Male,Yes,16,Weekly,Florida
3726,18,Female,No,2,Annually,Oklahoma
939,36,Male,Yes,21,Fortnightly,Wisconsin
1248,65,Male,No,18,Bi-Weekly,Virginia
3898,46,Female,No,24,Quarterly,New Jersey
562,65,Male,Yes,25,Fortnightly,Alabama
183,38,Male,Yes,10,Annually,Alabama
2677,43,Female,No,3,Fortnightly,Kentucky
3376,51,Female,No,8,Annually,Connecticut
3761,65,Female,No,36,Weekly,Connecticut
1973,54,Male,No,48,Every 3 Months,Louisiana
420,53,Male,Yes,14,Every 3 Months,Utah
2457,59,Male,No,5,Monthly,Nebraska
3543,62,Female,No,5,Weekly,Idaho
4955,20,Other,No,3,Quarterly,Los Angeles
2873,63,Female,No,5,Annually,Connecticut
631,41,Male,Yes,33,Annually,Mississippi
462,18,Male,Yes,20,Weekly,Ohio
669,49,Male,Yes,35,Monthly,Hawaii
3575,29,Female,No,39,Quarterly,New York
3154,56,Female,No,46,Fortnightly,Alabama
3630,52,Female,No,44,Fortnightly,Kansas
4709,63,Female,Yes,,Monthly,Phoenix
2448,59,Male,No,10,Fortnightly,South Dakota
1166,51,Male,No,21,Every 3 Months,Wisconsin
1855,25,Male,No,49,Annually,Kentucky
1825,58,Male,No,31,Monthly,Illinois
1620,57,Male,No,50,Bi-Weekly,Hawaii
2515,42,Male,No,45,Bi-Weekly,Alaska
1368,60,Male,No,25,Quarterly,Iowa
5026,66,Other,No,22,Weekly,Los Angeles
3106,48,Female,No,17,Monthly,Oregon
1220,19,Male,No,35,Bi-Weekly,Vermont
2685,46,Female,No,42,Bi-Weekly,Washington
537,44,Male,Yes,16,Every 3 Months,Illinois
4055,21,Other,No,9,Quarterly,New York
2083,41,Male,No,28,Every 3 Months,Arkansas
369,24,Male,Yes,29,Monthly,Oklahoma
4616,51,Female,No,,Monthly,New York
1067,49,Male,No,11,Bi-Weekly,Mississippi
1209,20,Male,No,8,Annually,Wisconsin
4716,70,Other,No,,Weekly,New York
3279,59,Female,No,18,Weekly,Montana
4391,20,Male,Yes,,Monthly,New York
2222,25,Male,No,34,Annually,Kansas
1901,65,Male,No,34,Quarterly,Iowa
3409,48,Female,No,11,Annually,Montana
456,54,Male,Yes,50,Fortnightly,Utah
2545,46,Male,No,39,Quarterly,Delaware
4193,46,Male,No,8,Monthly,New York
2345,34,Male,No,14,Bi-Weekly,Rhode Island
2614,58,Male,No,14,Monthly,South Dakota
573,56,Male,Yes,26,Annually,South Carolina
1883,44,Male,No,25,Quarterly,Tennessee
4337,31,Other,No,26,Weekly,New York
1743,51,Male,No,18,Every 3 Months,Kansas
3618,48,Female,No,29,Monthly,Kentucky
1023,61,Male,Yes,7,Annually,Nebraska
4662,25,Other,Yes,,Monthly,Houston
678,60,Male,Yes,41,Annually,Washington
3477,68,Female,No,11,Weekly,South Carolina
4641,30,Female,No,,Weekly,Los Angeles
1351,31,Male,No,1,Every 3 Months,Delaware
1044,28,Male,Yes,28,Fortnightly,Hawaii
1786,47,Male,No,22,Monthly,Iowa
287,27,Male,Yes,6,Annually,Nebraska
2456,20,Male,No,25,Every 3 Months,Alaska
3587,33,Female,No,12,Bi-Weekly,Idaho
5049,43,Male,No,13,Monthly,Chicago
2790,28,Female,No,28,Bi-Weekly,North Carolina
3313,55,Female,No,45,Quarterly,Louisiana
4931,59,Other,Yes,,Quarterly,Phoenix
2864,37,Female,No,18,Monthly,Connecticut
2645,25,Male,No,4,Every 3 Months,New Mexico
2783,41,Female,No,30,Annually,Idaho
2716,25,Female,No,29,Fortnightly,Mississippi
1943,63,Male,No,22,Monthly,Alabama
2484,32,Male,No,8,Monthly,Arizona
2707,24,Female,No,48,Quarterly,Alabama
2394,58,Male,No,38,Every 3 Months,Louisiana
4296,59,Female,No,4,Quarterly,New York
1577,56,Male,No,36,Monthly,Michigan
2305,26,Male,No,9,Fortnightly,Louisiana
1365,68,Male,No,5,Every 3 Months,Delaware
1643,18,Male,No,16,Fortnightly,Mississippi
3519,50,Female,No,30,Quarterly,Colorado
5016,45,Other,No,,Weekly,Phoenix
2760,68,Female,No,42,Every 3 Months,Washington
2770,32,Female,No,13,Weekly,Oklahoma
4080,28,Female,Yes,32,Monthly,Los Angeles
4041,66,Male,No,,Monthly,Phoenix
3338,23,Female,No,45,Bi-Weekly,Arizona
920,41,Male,Yes,17,Bi-Weekly,Massachusetts
5053,36,Male,Yes,,Quarterly,Houston
734,45,Male,Yes,20,Bi-Weekly,Rhode Island
700,50,Male,Yes,5,Weekly,Connecticut
1352,30,Male,No,28,Quarterly,Vermont
4476,56,Male,No,,Monthly,Phoenix
1987,62,Male,No,14,Quarterly,Arkansas
923,63,Male,Yes,13,Monthly,Georgia
2921,33,Female,No,3,Bi-Weekly,Texas
2007,58,Male,No,2,Annually,New Mexico
3201,67,Female,No,32,Monthly,Missouri
1000,50,Male,Yes,23,Monthly,New Mexico
2433,59,Male,No,43,Monthly,Hawaii
3597,28,Female,No,44,Fortnightly,South Carolina
2872,46,Female,No,40,Bi-Weekly,Idaho
4116,52,Male,Yes,,Quarterly,Los Angeles
330,70,Male,Yes,34,Monthly,Nevada
2150,38,Male,No,1,Weekly,Hawaii
2822,35,Female,No,37,Monthly,Georgia
2343,20,Male,No,16,Fortnightly,Tennessee
2723,23,Female,No,22,Fortnightly,Maine
2153,38,Male,No,43,Bi-Weekly,New Jersey
1621,25,Male,No,27,Every 3 Months,Virginia
1914,49,Male,No,29,Annually,Kentucky
4174,50,Male,No,13,Monthly,New York
563,53,Male,Yes,40,Annually,Missouri
2374,37,Male,No,21,Every 3 Months,Michigan
104,54,Male,Yes,22,Bi-Weekly,West Virginia
2054,19,Male,No,16,Fortnightly,Wyoming
1099,49,Male,No,27,Weekly,Idaho
3148,45,Female,No,21,Weekly,North Dakota
2725,52,Female,No,11,Fortnightly,Missouri
1681,61,Male,No,6,Annually,Louisiana
4042,21,Other,No,50,Monthly,Los Angeles
351,42,Male,Yes,47,Fortnightly,Kentucky
1163,47,Male,No,13,Weekly,North Carolina
4606,33,Female,Yes,,Weekly,Phoenix
1947,59,Male,No,41,Quarterly,Louisiana
4470,60,Female,No,,Weekly,Phoenix
2653,23,Female,No,46,Monthly,Maryland
5039,61,Male,No,5,Monthly,Los Angeles
518,61,Male,Yes,44,Every 3 Months,North Dakota
425,66,Male,Yes,42,Fortnightly,Illinois
1190,64,Male,No,28,Annually,Arkansas
2906,58,Female,No,14,Fortnightly,New York
2240,42,Male,No,41,Every 3 Months,Alabama
2031,66,Male,No,38,Monthly,New Mexico
478,42,Male,Yes,49,Weekly,North Dakota
807,56,Male,Yes,46,Quarterly,Florida
1949,54,Male,No,39,Bi-Weekly,Connecticut
3456,49,Female,No,13,Annually,Ohio
634,66,Male,Yes,50,Quarterly,Minnesota
2606,41,Male,No,32,Fortnightly,Nevada
3490,48,Female,No,32,Every 3 Months,Idaho
4436,59,Female,Yes,39,Monthly,Los Angeles
2437,52,Male,No,38,Quarterly,Connecticut
1523,38,Male,No,5,Monthly,Tennessee
3689,52,Female,No,8,Monthly,West Virginia
4994,45,Female,Yes,42,Monthly,New York
3627,69,Female,No,32,Quarterly,Mississippi
1611,20,Male,No,1,Annually,Tennessee
528,21,Male,Yes,47,Every 3 Months,South Carolina
239,64,Male,Yes,5,Annually,Ohio
2587,20,Male,No,1,Every 3 Months,Maine
4438,37,Other,No,,Weekly,Phoenix
1048,31,Male,Yes,7,Fortnightly,Utah
4817,65,Male,No,38,Monthly,Chicago
2951,22,Female,No,44,Every 3 Months,Iowa
2216,25,Male,No,28,Fortnightly,West Virginia
162,65,Male,Yes,29,Fortnightly,North Dakota
220,32,Male,Yes,12,Fortnightly,Nevada
5015,54,Male,No,18,Quarterly,New York
1686,33,Male,No,43,Bi-Weekly,Minnesota
32,33,Male,Yes,45,Monthly,West Virginia
2461,58,Male,No,28,Annually,Maine
1593,56,Male,No,10,Every 3 Months,Iowa
2492,63,Male,No,15,Monthly,North Carolina
2876,24,Female,No,14,Weekly,Kentucky
779,29,Male,Yes,23,Annually,Massachusetts
763,45,Male,Yes,43,Fortnightly,New Mexico
2613,55,Male,No,27,Quarterly,Louisiana
615,68,Male,Yes,21,Bi-Weekly,Idaho
3515,25,Female,No,32,Monthly,Georgia
2953,50,Female,No,5,Monthly,Alabama
2869,45,Female,No,42,Every 3 Months,Colorado
419,18,Male,Yes,27,Bi-Weekly,Illinois
803,38,Male,Yes,2,Weekly,Delaware
934,70,Male,Yes,33,Monthly,Colorado
3859,30,Female,No,26,Quarterly,Missouri
4445,59,Male,Yes,46,Monthly,Houston
882,52,Male,Yes,18,Annually,South Carolina
2687,40,Female,No,33,Fortnightly,Georgia
519,24,Male,Yes,16,Every 3 Months,Oregon
2599,64,Male,No,31,Annually,Nevada
2972,30,Female,No,9,Every 3 Months,Utah
4598,37,Female,Yes,20,Weekly,Phoenix
3640,26,Female,No,39,Annually,Illinois
3634,39,Female,No,1,Bi-Weekly,Montana
951,54,Male,Yes,30,Quarterly,New Mexico
4838,54,Male,No,,Quarterly,Phoenix
3852,50,Female,No,24,Annually,Montana
929,67,Male,Yes,31,Every 3 Months,Arkansas
592,47,Male,Yes,6,Bi-Weekly,Kentucky
3418,54,Female,No,22,Fortnightly,Massachusetts
2970,36,Female,No,20,Every 3 Months,Vermont
795,69,Male,Yes,10,Fortnightly,Kentucky
4088,49,Female,No,37,Weekly,Chicago
856,70,Male,Yes,14,Quarterly,Oregon
2096,36,Male,No,1,Fortnightly,New Mexico
4304,35,Female,Yes,,Monthly,Houston
4510,56,Other,No,,Quarterly,Phoenix
5032,24,Male,No,31,Monthly,Los Angeles
3639,40,Female,No,50,Bi-Weekly,Kansas
3266,40,Female,No,28,Fortnightly,Alabama
2298,60,Male,No,1,Quarterly,California
4311,19,Female,Yes,33,Monthly,Chicago
485,68,Male,Yes,28,Quarterly,Missouri
736,61,Male,Yes,48,Bi-Weekly,Montana
2505,56,Male,No,31,Bi-Weekly,Rhode Island
323,41,Male,Yes,47,Monthly,Tennessee
195,51,Male,Yes,15,Quarterly,Missouri
2135,55,Male,No,35,Fortnightly,Virginia
2474,57,Male,No,28,Quarterly,Arkansas
3767,62,Female,No,43,Annually,Texas
345,24,Male,Yes,46,Monthly,Virginia
1027,49,Male,Yes,39,Bi-Weekly,Virginia
468,19,Male,Yes,37,Every 3 Months,Nebraska
3693,59,Female,No,29,Fortnightly,Alabama
1618,43,Male,No,50,Fortnightly,Wisconsin
974,60,Male,Yes,30,Quarterly,Colorado
1990,35,Male,No,39,Bi-Weekly,Maryland
352,28,Male,Yes,24,Bi-Weekly,New York
2616,49,Male,No,6,Quarterly,Arizona
1486,22,Male,No,3,Fortnightly,Nebraska
3563,47,Female,,7,Weekly,Maryland
3318,21,Female,No,30,Quarterly,North Carolina
151,35,Male,Yes,17,Every 3 Months,California
1059,29,Male,No,49,Every 3 Months,New Mexico
2868,21,Female,No,33,Fortnightly,Colorado
2145,47,Male,No,25,Quarterly,Maryland
1008,58,Male,Yes,2,Annually,Georgia
4670,41,Male,No,,Quarterly,Chicago
2351,57,Male,No,21,Annually,Hawaii
3590,31,Female,No,38,Every 3 Months,New Hampshire
506,61,Male,Yes,9,Bi-Weekly,Maine
11,53,Male,Yes,26,Bi-Weekly,Arkansas
783,28,Male,Yes,15,Weekly,Hawaii
2236,40,Male,No,44,Annually,Illinois
2724,54,Female,No,3,Every 3 Months,Texas
5099,59,Female,No,,Weekly,Chicago
3843,35,Female,No,42,Monthly,Colorado
3,50,Male,Yes,23,Weekly,Massachusetts
1208,62,Male,No,48,Every 3 Months,Washington
2759,32,Female,No,8,Bi-Weekly,Illinois
384,50,Male,Yes,6,Quarterly,West Virginia
1866,56,Male,No,12,Monthly,Missouri
4739,29,Male,Yes,9,Weekly,New York
2497,67,Male,No,37,Weekly,Illinois
2573,54,Male,No,40,Quarterly,Washington
1284,69,Male,No,23,Every 3 Months,Oregon
171,52,Male,Yes,46,Bi-Weekly,Wyoming
2980,31,Female,No,14,Weekly,Louisiana
4803,70,Other,Yes,,Monthly,Phoenix
3077,66,Female,No,13,Bi-Weekly,New Hampshire
609,41,Male,Yes,21,Every 3 Months,Delaware
3668,51,Female,No,20,Monthly,Washington
3123,23,Female,No,34,Fortnightly,Georgia
3098,48,Female,No,39,Quarterly,Delaware
2227,22,Male,No,28,Annually,Missouri
2383,39,Male,No,44,Weekly,California
4377,34,Female,No,3,Weekly,Chicago
4512,42,Male,No,5,Monthly,Los Angeles
3839,47,Female,No,24,Every 3 Months,Rhode Island
4938,47,Female,No,,Weekly,Chicago
1056,70,Male,No,24,Annually,Massachusetts
2284,44,Male,No,34,Fortnightly,Ohio
4594,46,Male,Yes,,Monthly,Phoenix
1113,69,Male,No,32,Quarterly,Washington
4205,45,Other,No,26,Quarterly,Los Angeles
4124,46,Other,No,,Monthly,Houston
3380,61,Female,No,40,Weekly,Tennessee
4347,65,Male,Yes,,Weekly,Chicago
2091,51,Male,No,21,Monthly,Massachusetts
3010,62,Female,No,8,Fortnightly,Louisiana
3845,30,Female,No,40,Quarterly,Montana
153,30,Male,Yes,42,Annually,South Carolina
4269,56,Female,Yes,,Quarterly,Los Angeles
837,23,Male,Yes,22,Bi-Weekly,West Virginia
1971,28,Male,No,4,Bi-Weekly,Maryland
227,29,Male,Yes,5,Monthly,Texas
4989,61,Male,Yes,43,Weekly,Los Angeles
1702,69,Male,No,44,Every 3 Months,Mississippi
200,54,Male,Yes,32,Weekly,Idaho
2717,47,Female,No,21,Weekly,Colorado
1506,46,Male,No,39,Monthly,North Dakota
2419,22,Male,No,47,Every 3 Months,Michigan
321,66,Male,Yes,28,Quarterly,Kansas
4163,28,Other,Yes,33,Quarterly,Los Angeles
4900,41,Male,No,36,Monthly,New York
5088,57,Other,No,11,Monthly,Los Angeles
2102,49,Male,No,12,Bi-Weekly,Oregon
1836,65,Male,No,45,Quarterly,Kentucky
3702,46,Female,No,36,Annually,New Mexico
241,47,Male,Yes,29,Fortnightly,Montana
2983,33,Female,No,4,Weekly,Wisconsin
897,69,Male,Yes,38,Fortnightly,Arkansas
4663,29,Male,Yes,,Quarterly,Houston
3667,67,Female,No,47,Every 3 Months,Alabama
817,26,Male,Yes,24,Monthly,Illinois
16,64,Male,Yes,8,Monthly,Rhode Island
2537,51,Male,No,45,Every 3 Months,Oklahoma
3694,66,Female,No,10,Weekly,South Dakota
2823,61,Female,No,33,Quarterly,New Jersey
2896,56,Female,No,29,Monthly,Montana
4945,59,Female,No,,Weekly,Phoenix
2409,23,Male,No,44,Every 3 Months,Hawaii
1126,27,Male,No,10,Weekly,North Dakota
2798,63,Female,No,10,Every 3 Months,Oklahoma
304,20,Male,Yes,49,Weekly,Oregon
2450,26,Male,No,31,Fortnightly,Alabama
2135,55,Male,No,35,Fortnightly,Virginia
2572,45,Male,No,48,Fortnightly,Mississippi
4390,59,Female,Yes,,Quarterly,Los Angeles
1601,20,Male,No,24,Weekly,Montana
774,29,Male,Yes,14,Bi-Weekly,California
1025,28,Male,,18,Quarterly,Pennsylvania
2943,54,Female,No,37,Weekly,Hawaii
3658,58,Female,No,1,Every 3 Months,Alabama
766,54,Male,Yes,13,Quarterly,Alaska
554,63,Male,Yes,15,Quarterly,Florida
4007,33,Male,No,,Monthly,New York
3294,19,Female,No,47,Fortnightly,West Virginia
4631,44,Female,No,25,Monthly,New York
2508,58,Male,No,32,Every 3 Months,Louisiana
3339,29,Female,No,46,Monthly,Minnesota
2843,28,Female,No,48,Quarterly,Arizona
796,39,Male,Yes,34,Annually,New York
1934,48,Male,No,28,Annually,Montana
3220,57,Female,No,39,Weekly,Kansas
2067,64,Male,No,44,Fortnightly,Illinois
2245,35,Male,No,22,Annually,South Carolina
632,55,Male,Yes,27,Fortnightly,Washington
1874,64,Male,No,49,Weekly,Wisconsin
4677,41,Female,No,9,Monthly,Los Angeles
4437,28,Male,Yes,,Quarterly,Phoenix
4161,54,Other,No,,Weekly,New York
1458,58,Male,No,47,Fortnightly,Pennsylvania
4634,49,Female,No,,Quarterly,Chicago
4032,23,Female,Yes,,Monthly,Phoenix
1939,46,Male,No,39,Bi-Weekly,Kentucky
2692,43,Female,No,48,Monthly,Nebraska
4384,22,Female,No,35,Quarterly,Houston
33,36,Male,Yes,37,Annually,Kansas
4751,26,Female,Yes,14,Monthly,Houston
2192,26,Male,No,46,Bi-Weekly,Pennsylvania
3692,63,Female,No,24,Weekly,Michigan
2502,49,Male,No,30,Bi-Weekly,West Virginia
2235,35,Male,No,26,Weekly,New Hampshire
3373,56,Female,No,14,Every 3 Months,Pennsylvania
1976,53,Male,No,4,Quarterly,Illinois
2318,47,Male,No,28,Monthly,New Jersey
4484,70,Other,No,10,Monthly,Phoenix
3014,41,Female,No,13,Monthly,Arizona
1760,68,Male,No,1,Weekly,Louisiana
946,38,Male,Yes,8,Every 3 Months,Minnesota
1858,51,Male,No,33,Monthly,Colorado
877,41,Male,Yes,1,Weekly,Nebraska
1784,42,Male,No,30,Monthly,Ohio
3175,45,Female,No,35,Monthly,Oklahoma
3004,51,Female,No,13,Every 3 Months,Oregon
4582,68,Female,Yes,7,Weekly,Los Angeles
3287,45,Female,No,4,Fortnightly,Illinois
4808,30,Male,No,,Weekly,Houston
4486,50,Female,No,21,Monthly,Houston
4586,23,Female,No,,Monthly,Los Angeles
1768,69,Male,No,46,Fortnightly,Minnesota
4245,42,Female,No,40,Monthly,New York
2619,70,Male,No,12,Monthly,Louisiana
2671,30,Female,No,26,Bi-Weekly,Pennsylvania
3377,22,Female,No,24,Quarterly,Ohio
4397,47,Other,Yes,,Weekly,Chicago
3329,42,Female,No,11,Bi-Weekly,Wisconsin
4276,53,Other,Yes,28,Monthly,Houston
809,46,Male,Yes,38,Every 3 Months,Wisconsin
4842,30,Female,Yes,,Monthly,Phoenix
1846,51,Male,No,39,Quarterly,Delaware
3879,60,Female,No,24,Annually,South Carolina
3836,58,Female,No,28,Bi-Weekly,Pennsylvania
1906,47,Male,No,14,Fortnightly,Idaho
225,63,Male,Yes,12,Every 3 Months,South Dakota
1482,64,Male,No,31,Quarterly,Maryland
4323,31,Male,No,,Weekly,Phoenix
203,57,Male,Yes,33,Annually,Nebraska
259,61,Male,Yes,16,Quarterly,Alabama
5075,69,Male,No,35,Monthly,New York
3118,43,Female,No,4,Bi-Weekly,Florida
2473,24,Male,No,31,Annually,Utah
2277,31,Male,No,25,Weekly,Wyoming
2238,45,Male,No,31,Every 3 Months,Alabama
374,23,Male,Yes,11,Bi-Weekly,North Dakota
3567,28,Female,No,14,Monthly,Alaska
4455,46,Female,No,23,Quarterly,New York
1408,56,Male,No,11,Annually,Nevada
1356,59,Male,No,50,Bi-Weekly,Florida
2186,40,Male,No,50,Every 3 Months,North Carolina
290,49,Male,Yes,26,Monthly,New York
1843,61,Male,No,1,Annually,Alabama
84,36,Male,Yes,34,Weekly,Texas
231,66,Male,Yes,43,Annually,Utah
754,47,Male,Yes,27,Quarterly,Massachusetts
1993,33,Male,No,28,Monthly,New Jersey
4183,69,Female,No,,Weekly,Phoenix
1222,18,Male,No,3,Quarterly,Iowa
4469,22,Female,No,,Monthly,Chicago
2992,66,Female,No,7,Bi-Weekly,Utah
3231,49,Female,No,38,Annually,Kansas
2641,30,Male,No,45,Bi-Weekly,Indiana
978,20,Male,Yes,34,Bi-Weekly,Washington
962,62,Male,Yes,37,Quarterly,Pennsylvania
1185,63,Male,No,19,Annually,South Carolina
1449,64,Male,No,11,Every 3 Months,West Virginia
1470,28,Male,No,31,Every 3 Months,Mississippi
473,20,Male,Yes,3,Quarterly,Georgia
3614,58,Female,No,40,Annually,Minnesota
3544,58,Female,No,18,Every 3 Months,Colorado
2452,41,Male,No,27,Monthly,Oklahoma
4273,64,Female,No,42,Monthly,New York
4025,68,Female,No,33,Quarterly,Phoenix
1817,26,Male,No,4,Weekly,Virginia
2487,61,Male,No,6,Fortnightly,Texas
690,19,Male,Yes,35,Every 3 Months,Pennsylvania
2533,55,Male,No,4,Weekly,Nebraska
1292,69,Male,No,23,Fortnightly,South Dakota
3239,25,Female,No,37,Quarterly,Wyoming
582,32,Male,Yes,12,Every 3 Months,Iowa
2557,24,Male,No,4,Quarterly,Montana
1873,43,Male,No,24,Monthly,Alaska
2893,22,Female,No,47,Monthly,Nevada
3458,64,Female,No,29,Fortnightly,Maryland
1960,46,Male,No,7,Every 3 Months,Colorado
4219,44,Male,No,,Weekly,Houston
3235,49,Female,No,16,Quarterly,Washington
5081,37,Other,No,17,Weekly,Phoenix
1955,26,Male,No,3,Quarterly,Colorado
848,53,Male,Yes,30,Monthly,New Jersey
3278,59,Female,No,3,Monthly,Texas
1101,50,Male,No,2,Weekly,Nevada
2331,60,Male,No,47,Every 3 Months,Arizona
553,24,Male,Yes,18,Weekly,Missouri
5005,60,Male,No,,Weekly,Chicago
3325,37,Female,No,41,Weekly,Missouri
1756,56,Male,No,45,Monthly,Delaware
4737,61,Other,Yes,33,Quarterly,New York
168,33,Male,Yes,14,Every 3 Months,Arkansas
692,60,Male,Yes,37,Bi-Weekly,Massachusetts
511,21,Male,Yes,22,Annually,West Virginia
2376,60,Male,No,18,Quarterly,Virginia
4322,54,Other,No,43,Weekly,Los Angeles
3069,32,Female,No,4,Weekly,California
2988,63,Female,No,42,Monthly,Louisiana
3331,38,Female,No,41,Quarterly,Missouri
4974,49,Other,Yes,,Monthly,New York
599,21,Male,Yes,30,Every 3 Months,California
4923,67,Male,Yes,,Weekly,Phoenix
2266,36,Male,No,10,Quarterly,Montana
295,70,Male,Yes,19,Every 3 Months,New Jersey
4721,54,Male,Yes,,Quarterly,Chicago
5067,18,Male,Yes,41,Monthly,Phoenix
4760,41,Other,Yes,,Weekly,Chicago
1334,29,Male,No,9,Quarterly,Idaho
3321,66,Female,No,45,Every 3 Months,Illinois
1321,56,Male,No,19,Annually,California
180,64,Male,Yes,9,Fortnightly,Illinois
1710,45,Male,No,19,Annually,Indiana
3023,58,Female,No,23,Weekly,Georgia
385,70,Male,Yes,6,Annually,California
2316,69,Male,No,49,Quarterly,Vermont
13,61,Male,Yes,37,Fortnightly,Delaware
668,34,Male,Yes,32,Quarterly,Arizona
4123,26,Female,No,,Quarterly,New York
1879,34,Male,No,5,Monthly,Oklahoma
2048,58,Male,No,32,Annually,Connecticut
935,45,Male,Yes,21,Monthly,Oregon
2018,70,Male,No,42,Every 3 Months,Massachusetts
3647,69,Female,No,39,Fortnightly,Nevada
5071,66,Other,Yes,29,Monthly,Chicago
2997,70,Female,No,6,Every 3 Months,Utah
969,57,Male,Yes,48,Quarterly,North Carolina
4998,69,Other,Yes,,Weekly,Chicago
3151,55,Female,No,7,Bi-Weekly,Georgia
3269,22,Female,No,5,Every 3 Months,Arkansas
164,54,Male,Yes,8,Weekly,Virginia
5054,42,Male,No,,Weekly,Los Angeles
448,60,Male,Yes,7,Every 3 Months,Washington
1471,43,Male,No,15,Every 3 Months,California
4024,55,Female,No,,Quarterly,Chicago
2032,21,Male,No,2,Monthly,North Carolina
776,49,Male,Yes,8,Monthly,Kentucky
2856,29,Female,No,33,Quarterly,Mississippi
757,62,Male,Yes,24,Fortnightly,Montana
1796,68,Male,No,9,Fortnightly,Wisconsin
2629,25,Male,No,42,Bi-Weekly,Wyoming
4969,57,Female,Yes,42,Weekly,Phoenix
2661,24,Female,No,44,Annually,South Carolina
2774,39,Female,No,45,Quarterly,Arizona
1777,56,Male,No,10,Every 3 Months,Arizona
466,54,Male,Yes,25,Quarterly,Oklahoma
2377,21,Male,No,5,Weekly,Tennessee
2292,28,Male,No,13,Quarterly,Ohio
3040,59,Female,No,31,Bi-Weekly,Alabama
2565,42,Male,No,27,Weekly,Kentucky
1780,29,Male,No,41,Weekly,Virginia
1074,22,Male,No,33,Monthly,California
2678,45,Female,No,6,Every 3 Months,Connecticut
4431,25,Male,No,33,Weekly,New York
2923,45,Female,No,16,Quarterly,Kentucky
407,52,Male,Yes,13,Monthly,Maryland
3639,40,Female,No,50,Bi-Weekly,Kansas
4466,33,Female,Yes,,Weekly,Phoenix
3271,59,Female,No,48,Annually,Illinois
2001,26,Male,No,25,Bi-Weekly,California
253,32,Male,Yes,33,Fortnightly,Delaware
1407,32,Male,No,15,Monthly,Washington
3224,68,Female,No,36,Bi-Weekly,Montana
4288,39,Other,Yes,19,Monthly,Chicago
1935,34,Male,No,23,Annually,Michigan
3512,69,Female,No,21,Every 3 Months,Mississippi
3297,20,Female,No,47,Quarterly,Alaska
2055,65,Male,No,14,Annually,New Jersey
1367,45,Male,No,10,Fortnightly,Iowa
2059,29,Male,No,17,Quarterly,Washington
3701,28,Female,No,2,Every 3 Months,North Dakota
85,52,Male,Yes,42,Every 3 Months,Arizona
57,41,Male,Yes,46,Weekly,Mississippi
2649,51,Male,No,14,Bi-Weekly,Illinois
2021,41,Male,No,26,Quarterly,Pennsylvania
1139,18,Male,No,32,Fortnightly,Iowa
1019,50,Male,Yes,46,Weekly,Georgia
3595,19,Female,No,29,Quarterly,Alabama
5028,51,Female,No,11,Monthly,Chicago
606,40,Male,Yes,17,Weekly,California
1614,26,Male,No,6,Fortnightly,Illinois
658,48,Male,Yes,6,Quarterly,Arizona
2155,46,Male,No,33,Every 3 Months,Wyoming
1559,35,Male,No,24,Every 3 Months,New Mexico
2485,60,Male,No,50,Every 3 Months,New Hampshire
1175,42,Male,No,19,Bi-Weekly,Michigan
3388,53,Female,No,2,Bi-Weekly,New Jersey
30,31,Male,Yes,14,Weekly,Wyoming
924,55,Male,Yes,7,Weekly,Arkansas
5085,36,Other,Yes,,Monthly,New York
2859,34,Female,No,46,Monthly,Maryland
1210,41,Male,No,16,Monthly,Pennsylvania
3147,21,Female,No,19,Annually,Virginia
198,59,Male,Yes,41,Monthly,South Carolina
1638,35,Male,No,32,Fortnightly,Massachusetts
2146,38,Male,No,32,Annually,Connecticut
68,45,Male,Yes,49,Monthly,Connecticut
966,43,Male,Yes,10,Annually,Delaware
2261,38,Male,No,16,Quarterly,Missouri
2445,47,Male,No,15,Bi-Weekly,West Virginia
2913,48,Female,No,27,Bi-Weekly,Oregon
1456,60,Male,No,1,Every 3 Months,Alabama
4198,42,Female,Yes,31,Weekly,Phoenix
3319,45,Female,No,15,Monthly,North Dakota
5070,37,Other,No,5,Quarterly,Los Angeles
944,32,Male,Yes,13,Fortnightly,Oklahoma
3476,48,Female,No,9,Quarterly,South Carolina
2968,34,Female,No,40,Annually,Indiana
2004,68,Male,No,32,Quarterly,Maine
644,18,Male,Yes,10,Every 3 Months,Oregon
4781,62,Male,No,,Quarterly,New York
3581,51,Female,No,3,Bi-Weekly,New Hampshire
3789,43,Female,No,27,Monthly,Kansas
1911,29,Male,No,13,Quarterly,New York
4666,35,Female,No,41,Monthly,Chicago
2340,25,Male,No,24,Quarterly,Illinois
2481,61,Male,No,7,Fortnightly,Ohio
5048,23,Female,No,16,Quarterly,Chicago
871,66,Male,Yes,6,Bi-Weekly,West Virginia
328,61,Male,Yes,36,Weekly,Iowa
