Item Purchased,Size,Color,Category,Season,Review Rating,Purchase Amount (USD),Discount Applied,Shipping Type,Payment Method,Customer ID
Shirt,,Red,Electronics,Summer,,,Yes,Express,PayPal,4436
T-shirt,M,Yellow,Clothing,Fall,2.7,24,No,Store Pickup,Credit Card,2437
Shorts,L,Yellow,Clothing,Spring,4.8,72,Yes,Free Shipping,Debit Card,1523
Sunglasses,L,White,Accessories,Spring,3,91,No,Next Day Air,Cash,3689
Phone,L,Blue,Clothing,Spring,,728.44,Yes,Express,Cash,4994
Blouse,L,Teal,Clothing,Fall,3.5,98,No,Express,Venmo,3627
Socks,L,Purple,Clothing,Spring,3.4,31,Yes,2-Day Shipping,PayPal,1611
T-shirt,L,Yellow,Clothing,Winter,4.3,23,Yes,Next Day Air,Bank Transfer,528
Skirt,M,Peach,Clothing,Fall,4.2,34,Yes,Free Shipping,Cash,239
Coat,L,Yellow,Outerwear,Winter,4.6,28,No,Express,Credit Card,2587
Headphones,S,Black,Clothing,Spring,5,1025.56,No,Express,Cash,4438
Socks,S,Olive,Clothing,Fall,4.2,36,Yes,Standard,Credit Card,1048
Shoes,S,Black,Accessories,Autumn,,598.48,No,Standard,Cash,4817
Jeans,S,Maroon,Clothing,Winter,4.1,91,No,2-Day Shipping,Debit Card,2951
Sandals,M,Indigo,Footwear,Winter,2.7,96,No,Express,Credit Card,2216
Backpack,M,Olive,Accessories,Fall,3,49,Yes,Express,Venmo,162
Belt,M,Cyan,Accessories,Spring,3,88,Yes,Free Shipping,Cash,220
,S,Green,Clothing,Autumn,,1436.38,Yes,Express,Cash,5015
Blouse,M,Pink,Clothing,Winter,4.6,48,No,Standard,PayPal,1686
Dress,L,Brown,Clothing,Winter,4.7,79,Yes,Store Pickup,Venmo,32
Jeans,S,Lavender,Clothing,Winter,4,36,No,Store Pickup,Credit Card,2461
Shoes,M,Cyan,Footwear,Summer,3.3,83,Yes,Free Shipping,Bank Transfer,1593
Handbag,M,Magenta,Accessories,Spring,2.5,47,No,Express,Bank Transfer,2492
Pants,M,Pink,Clothing,Fall,2.6,81,No,Free Shipping,Debit Card,2876
Socks,M,Yellow,Clothing,Summer,2.9,50,Yes,Store Pickup,Debit Card,779
Belt,M,Pink,Accessories,Fall,3.9,46,Yes,Standard,Debit Card,763
Sunglasses,M,Turquoise,Accessories,Winter,3.8,22,No,Next Day Air,Venmo,2613
Jewelry,M,Lavender,Accessories,Winter,4,85,Yes,Standard,Credit Card,615
Sneakers,XL,Gray,Footwear,Winter,4.7,50,No,Express,Cash,3515
Belt,M,Peach,Accessories,Spring,4.9,24,No,Next Day Air,Debit Card,2953
Backpack,M,Black,Accessories,Winter,2.6,49,No,Next Day Air,PayPal,2869
Sweater,L,Purple,Clothing,Spring,3,73,Yes,Standard,Venmo,419
Pants,M,Teal,Clothing,Winter,3.5,41,Yes,Next Day Air,Bank Transfer,803
Sneakers,M,Magenta,Footwear,Spring,2.7,84,Yes,Store Pickup,Debit Card,934
T-shirt,M,Olive,Clothing,Winter,3.5,77,No,Store Pickup,Credit Card,3859
Laptop,,Red,Electronics,Summer,,,No,Standard,Credit Card,4445
Sandals,M,Silver,Footwear,Summer,2.7,61,Yes,Next Day Air,Venmo,882
Socks,M,Black,Clothing,Winter,3.8,72,No,2-Day Shipping,Cash,2687
Blouse,M,Beige,Clothing,Fall,2.9,100,Yes,Next Day Air,Venmo,519
Backpack,XL,Olive,Accessories,Fall,3.3,86,No,Express,Debit Card,2599
Handbag,L,Yellow,Accessories,Fall,3.9,100,No,Next Day Air,PayPal,2972
Laptop,,Blue,Electronics,Summer,,187.51,Yes,Standard,Credit Card,4598
Coat,M,Brown,Outerwear,Summer,3.6,44,No,2-Day Shipping,Venmo,3640
Gloves,M,Orange,Accessories,Spring,2.8,51,No,Free Shipping,Bank Transfer,3634
Backpack,XL,Turquoise,Accessories,Winter,4.1,37,Yes,Free Shipping,PayPal,951
Watch,XL,Black,Clothing,Spring,5,,No,Express,Cash,4838
Scarf,M,Pink,Accessories,Summer,3.9,83,No,Free Shipping,Debit Card,3852
Dress,XL,Yellow,Clothing,Winter,3.4,37,Yes,Store Pickup,Cash,929
Backpack,L,Olive,Accessories,Fall,4.2,37,Yes,Store Pickup,Debit Card,592
Coat,M,Blue,Outerwear,Summer,2.9,35,No,2-Day Shipping,Debit Card,3418
Belt,S,Blue,Accessories,Fall,4.3,62,No,Next Day Air,Cash,2970
Backpack,XL,Yellow,Accessories,Winter,4.2,50,Yes,Store Pickup,Debit Card,795
Laptop,,Blue,Electronics,Spring,,,No,Express,Debit Card,4088
Socks,L,Gold,Clothing,Spring,3,76,Yes,2-Day Shipping,Credit Card,856
Hoodie,M,Gray,Clothing,Fall,4,63,No,Store Pickup,Bank Transfer,2096
Headphones,,Red,Electronics,Winter,,469.48,Yes,Standard,Cash,4304
Watch,M,Black,Clothing,Spring,,1403.73,Yes,Express,PayPal,4510
Bag,XL,Black,Clothing,Autumn,2,,No,Express,Cash,5032
Backpack,M,Olive,Accessories,Spring,4.6,20,No,Express,PayPal,3639
Sunglasses,M,White,Accessories,Winter,3.2,100,No,Express,Credit Card,3266
Socks,M,Orange,Clothing,Summer,4.7,83,No,Standard,Bank Transfer,2298
Bag,S,Red,Clothing,Winter,5,873.21,No,Express,Credit Card,4311
Hat,L,Lavender,Accessories,Summer,4.7,73,Yes,Free Shipping,Bank Transfer,485
Sunglasses,M,Orange,Accessories,Fall,3.6,48,Yes,2-Day Shipping,Cash,736
Shorts,M,Turquoise,Clothing,Winter,4,94,No,Store Pickup,Cash,2505
Belt,S,Cyan,Accessories,Winter,3,95,Yes,Standard,Credit Card,323
Backpack,M,Olive,Accessories,Spring,3.1,94,Yes,Express,Debit Card,195
Sandals,XL,Maroon,Footwear,Winter,2.9,41,No,Standard,Credit Card,2135
Socks,M,Red,Clothing,Winter,2.6,98,No,Next Day Air,Cash,2474
Handbag,M,Black,Accessories,Fall,4.9,59,No,Next Day Air,Debit Card,3767
Skirt,M,Charcoal,Clothing,Winter,4,71,Yes,Standard,Debit Card,345
Handbag,L,Turquoise,Accessories,Winter,3,95,Yes,Express,PayPal,1027
Backpack,S,Orange,Accessories,Spring,4.5,51,Yes,2-Day Shipping,Debit Card,468
Coat,L,Turquoise,Outerwear,Spring,4.8,34,No,Free Shipping,Cash,3693
Blouse,M,Peach,Clothing,Winter,4.3,64,Yes,Standard,Credit Card,1618
Jacket,M,Teal,Outerwear,Fall,3.5,75,Yes,2-Day Shipping,Bank Transfer,974
Jewelry,S,Charcoal,Accessories,Spring,4,42,No,Express,PayPal,1990
Skirt,M,Teal,Clothing,Winter,3.9,90,Yes,Standard,Debit Card,352
T-shirt,M,Maroon,Clothing,Fall,3.1,62,No,2-Day Shipping,Debit Card,2616
Gloves,L,Red,Accessories,Spring,3.4,56,Yes,Standard,Cash,1486
Sneakers,M,Cyan,Footwear,Winter,3.4,36,No,Free Shipping,Bank Transfer,3563
Hat,XL,Pink,Accessories,Summer,4.7,67,No,Standard,Cash,3318
Boots,L,Cyan,Footwear,Fall,4.9,96,Yes,Standard,Debit Card,151
Scarf,L,Violet,Accessories,Summer,3.1,33,Yes,Next Day Air,Bank Transfer,1059
Sneakers,L,White,Footwear,Summer,4.9,55,No,Next Day Air,Cash,2868
Shoes,L,Orange,Footwear,Winter,3.7,23,No,Free Shipping,PayPal,2145
Gloves,XL,Turquoise,Accessories,Spring,4.8,62,Yes,Standard,Credit Card,1008
Shirt,,Blue,Electronics,Autumn,,,Yes,Express,PayPal,4670
Shoes,M,Turquoise,Footwear,Winter,4.2,26,No,Free Shipping,Cash,2351
Belt,M,Blue,Accessories,Spring,4.8,73,No,Next Day Air,Cash,3590
T-shirt,L,Gray,Clothing,Spring,4.3,63,Yes,Express,Cash,506
Shoes,L,Purple,Footwear,Fall,4.1,34,Yes,Store Pickup,Bank Transfer,11
Hoodie,M,Green,Clothing,Summer,4.5,57,Yes,Standard,Cash,783
Socks,M,Gray,Clothing,Spring,4.5,82,No,2-Day Shipping,Credit Card,2236
Shoes,XL,Brown,Footwear,Summer,2.9,49,No,Store Pickup,PayPal,2724
Phone,,White,Electronics,Spring,1,736.01,Yes,Express,Cash,5099
Jacket,L,Lavender,Outerwear,Winter,4.2,84,No,Next Day Air,Debit Card,3843
Jeans,S,Maroon,Clothing,Spring,3.1,73,Yes,Free Shipping,Credit Card,3
Boots,M,White,Footwear,Summer,4.1,90,Yes,Next Day Air,,1208
Blouse,M,Purple,Clothing,Summer,3.2,98,No,Standard,Bank Transfer,2759
Sunglasses,S,Magenta,Accessories,Fall,,77,Yes,Standard,PayPal,384
,S,Silver,Clothing,Summer,3.8,62,No,Store Pickup,Bank Transfer,1866
Shoes,S,Green,Accessories,Autumn,1,,No,Standard,Cash,4739
Scarf,S,Yellow,Accessories,Summer,3.2,79,No,Store Pickup,Credit Card,2497
Blouse,M,Silver,Clothing,Fall,3.9,42,No,Next Day Air,Bank Transfer,2573
Shirt,M,Violet,Clothing,Winter,3.9,94,Yes,2-Day Shipping,Debit Card,1284
Shirt,M,Maroon,Clothing,Fall,2.6,25,Yes,Store Pickup,Venmo,171
Jeans,L,Olive,Clothing,Fall,2.6,91,No,Next Day Air,PayPal,2980
Shirt,L,Black,Accessories,Summer,5,,Yes,Standard,Debit Card,4803
Handbag,M,Blue,Accessories,Summer,3.6,46,No,Express,Venmo,3077
Backpack,S,Gold,Accessories,Fall,3.3,25,Yes,Next Day Air,Venmo,609
Pants,L,Cyan,Clothing,Fall,2.6,45,No,Next Day Air,Venmo,3668
Socks,M,Pink,Clothing,Fall,3,45,No,Express,Credit Card,3123
Shoes,M,Silver,Footwear,Fall,3.7,33,No,Free Shipping,Bank Transfer,3098
Shirt,L,Blue,Clothing,Spring,4.8,72,No,Store Pickup,Cash,2227
Sweater,M,Turquoise,Clothing,Spring,3.9,60,No,Express,Debit Card,2383
Shoes,,Green,Electronics,Autumn,,,No,Express,Debit Card,4377
Phone,M,Red,Accessories,Winter,,,Yes,Standard,PayPal,4512
Dress,L,Green,Clothing,Summer,4.2,25,No,Express,Venmo,3839
Shirt,M,Green,Clothing,Summer,,914.23,No,Standard,Debit Card,4938
Jacket,M,Orange,Outerwear,Spring,3.3,27,Yes,Next Day Air,Debit Card,1056
Handbag,S,Black,Accessories,Winter,4.1,45,No,Free Shipping,Credit Card,2284
Phone,L,White,Accessories,Summer,,,No,Express,Cash,4594
Hoodie,XL,Pink,Clothing,Spring,4.6,67,Yes,Free Shipping,PayPal,1113
Headphones,L,Red,Clothing,Summer,5,,No,,Debit Card,4205
Shirt,,Red,Electronics,Winter,,,Yes,Express,Credit Card,4124
Handbag,L,Turquoise,Accessories,Summer,5,51,No,Store Pickup,Cash,3380
Headphones,S,Black,Clothing,Summer,4,,Yes,Standard,PayPal,4347
Socks,S,Teal,Clothing,Winter,3.4,71,No,Free Shipping,Debit Card,2091
Belt,M,Silver,Accessories,Winter,4.6,73,No,Free Shipping,Venmo,3010
Shorts,S,Cyan,Clothing,Fall,5,87,No,,Venmo,3845
Shirt,S,Brown,Clothing,Summer,4.3,85,Yes,Express,Venmo,153
Laptop,,Green,Electronics,Autumn,1,118.61,Yes,Standard,PayPal,4269
Gloves,L,Violet,Accessories,Winter,3.9,90,Yes,Store Pickup,Cash,837
Belt,M,Indigo,Accessories,Spring,2.9,94,No,Next Day Air,Credit Card,1971
Shoes,L,Violet,Footwear,Spring,3.3,74,Yes,Free Shipping,PayPal,227
Bag,S,Red,Accessories,Autumn,5,,Yes,Standard,Cash,4989
Handbag,XL,Blue,Accessories,Winter,3.8,41,No,Next Day Air,Debit Card,1702
Hat,XL,Green,Accessories,Summer,3.8,73,Yes,Express,Cash,200
Shoes,L,Black,Footwear,Spring,2.7,40,No,Store Pickup,Debit Card,2717
Belt,M,Teal,Accessories,Summer,3,20,Yes,Express,Cash,1506
Pants,S,Indigo,Clothing,Fall,4,69,No,Next Day Air,Cash,2419
Jewelry,L,White,Accessories,Summer,4.9,72,Yes,Standard,Debit Card,321
Headphones,S,White,,Autumn,4,789.72,Yes,Express,Credit Card,4163
Phone,L,White,Clothing,Autumn,,510.59,No,Standard,Credit Card,4900
Headphones,L,Red,Accessories,Summer,,,Yes,Express,PayPal,5088
Shirt,M,Blue,Clothing,Winter,3.6,23,No,Next Day Air,Bank Transfer,2102
Scarf,M,Lavender,Accessories,Fall,3.2,75,No,2-Day Shipping,Credit Card,1836
Sandals,M,Charcoal,Footwear,Spring,4.5,66,No,Store Pickup,Cash,3702
Sweater,XL,Turquoise,Clothing,Winter,3.5,45,Yes,Free Shipping,Bank Transfer,241
Dress,M,Orange,Clothing,Summer,3.6,45,No,Store Pickup,Credit Card,2983
Jewelry,M,Lavender,Accessories,Spring,4.7,29,Yes,Express,Cash,897
Phone,XL,Red,Clothing,Summer,,627.73,No,Standard,Cash,4663
Jewelry,M,Olive,Accessories,Winter,3,50,No,2-Day Shipping,Cash,3667
Sweater,L,Cyan,Clothing,Summer,3.9,24,Yes,Store Pickup,Debit Card,817
Skirt,M,Teal,Clothing,Winter,2.8,81,Yes,Store Pickup,PayPal,16
Belt,L,Gray,Accessories,Spring,4.9,39,No,Express,PayPal,2537
Blouse,M,Violet,Clothing,Summer,4.7,46,No,2-Day Shipping,Venmo,3694
Skirt,S,Brown,Clothing,Fall,4.1,37,No,Standard,PayPal,2823
Hoodie,L,Green,Clothing,Summer,4.6,86,No,Standard,Bank Transfer,2896
Shirt,,Red,Electronics,Summer,2,1343.37,Yes,Standard,Credit Card,4945
Sneakers,XL,Black,Footwear,Fall,4.2,55,No,Next Day Air,Debit Card,2409
Sandals,M,Lavender,Footwear,Summer,2.7,90,Yes,2-Day Shipping,Bank Transfer,1126
Jewelry,M,Green,Accessories,Winter,3.5,42,No,Express,Venmo,2798
Sandals,M,Turquoise,Footwear,Summer,3.3,60,Yes,Next Day Air,Venmo,304
Coat,S,Violet,Outerwear,Fall,4.1,56,No,Express,Venmo,2450
Sandals,XL,Maroon,Footwear,Winter,2.9,41,No,Standard,Credit Card,2135
Sunglasses,L,Black,Accessories,Winter,3.5,27,No,Standard,Cash,2572
Shirt,S,White,Clothing,Winter,1,,No,Standard,Credit Card,4390
Boots,S,Yellow,Footwear,Spring,4.7,26,Yes,Next Day Air,PayPal,1601
Hat,L,Indigo,Accessories,Winter,2.6,84,Yes,Express,Debit Card,774
T-shirt,M,Purple,Clothing,Summer,3.5,66,Yes,Free Shipping,Venmo,1025
Socks,M,Brown,Clothing,Summer,2.6,63,No,Free Shipping,Bank Transfer,2943
Shoes,L,Gold,Footwear,Winter,3.7,82,No,Express,Debit Card,3658
Sneakers,M,Pink,Footwear,Summer,3,99,Yes,Store Pickup,Cash,766
Sunglasses,M,White,Accessories,Winter,3.2,59,Yes,Express,Credit Card,554
Bag,S,Blue,Clothing,Spring,1,,Yes,Standard,PayPal,4007
Coat,M,Gold,Outerwear,Spring,3.5,91,No,2-Day Shipping,Credit Card,3294
Watch,L,Green,Accessories,Spring,,749.08,Yes,Express,PayPal,4631
Shoes,M,Cyan,Footwear,Fall,2.9,36,No,Store Pickup,Credit Card,2508
Skirt,L,White,Clothing,Winter,2.9,94,No,2-Day Shipping,Credit Card,3339
Coat,L,Green,Outerwear,Fall,4.3,100,No,Standard,Debit Card,2843
Sandals,M,Beige,Footwear,Summer,4.6,26,Yes,Store Pickup,Venmo,796
Sandals,L,Violet,Footwear,Summer,4.1,67,No,Next Day Air,Venmo,1934
Coat,L,White,Outerwear,Summer,3.5,40,No,2-Day Shipping,Credit Card,3220
Sneakers,M,Olive,Footwear,,4.7,92,No,Store Pickup,Debit Card,2067
Shorts,M,Gold,Clothing,Summer,4.8,37,No,2-Day Shipping,PayPal,2245
Boots,S,Violet,Footwear,Summer,4.1,68,Yes,Store Pickup,Cash,632
Sweater,XL,Red,Clothing,Fall,2.9,44,No,Express,Bank Transfer,1874
Phone,L,White,Accessories,Autumn,,,No,Standard,Credit Card,4677
Shoes,,Green,Electronics,Autumn,,412.8,Yes,Standard,Credit Card,4437
Headphones,XL,Blue,Clothing,Spring,,,No,Standard,Debit Card,4161
Shirt,S,Gray,Clothing,Spring,4.7,57,Yes,Express,Venmo,1458
Phone,,Red,Electronics,Summer,,,Yes,Standard,Cash,4634
Shirt,L,White,Clothing,Winter,,213.14,Yes,Express,Credit Card,4032
,L,Blue,Clothing,Spring,3.8,23,No,Standard,Debit Card,1939
Pants,L,Blue,Clothing,Winter,3.3,25,No,2-Day Shipping,Cash,2692
Shoes,M,White,Clothing,Summer,4,632.95,Yes,Standard,Cash,4384
Jacket,M,Silver,Outerwear,Summer,4.9,67,Yes,Free Shipping,Venmo,33
Watch,L,Black,Accessories,Spring,4,,Yes,Express,Cash,4751
Blouse,S,Maroon,Clothing,Summer,3.8,69,No,Next Day Air,Cash,2192
Sandals,XL,Orange,Footwear,Summer,4.8,21,No,Next Day Air,PayPal,3692
Shorts,M,Violet,Clothing,Fall,4.6,94,No,Free Shipping,Venmo,2502
Boots,S,Yellow,Footwear,Winter,4,66,No,Express,Cash,2235
Socks,M,Maroon,Clothing,Winter,4.6,25,No,Free Shipping,Credit Card,3373
Jacket,L,Turquoise,Outerwear,Fall,2.9,77,No,Express,Cash,1976
Jacket,M,Purple,Outerwear,Summer,4.7,34,No,Next Day Air,Bank Transfer,2318
Phone,L,Green,Accessories,Spring,1,1104.47,Yes,Express,PayPal,4484
Skirt,L,Peach,Clothing,Summer,4.2,55,No,Store Pickup,Cash,3014
Sweater,L,Green,Clothing,Spring,4,58,No,Next Day Air,PayPal,1760
Boots,M,Violet,Footwear,Summer,4.1,38,Yes,Store Pickup,Venmo,946
T-shirt,L,Maroon,Clothing,Summer,4,85,No,Next Day Air,Cash,1858
Belt,L,Gray,Accessories,Summer,3.8,51,Yes,2-Day Shipping,Debit Card,877
Handbag,L,Lavender,Accessories,Winter,3.3,49,No,Free Shipping,Credit Card,1784
Pants,L,Orange,Clothing,Winter,3.8,52,No,Store Pickup,PayPal,3175
Blouse,M,Brown,Clothing,Fall,2.8,53,No,Express,Credit Card,3004
Phone,M,White,Clothing,Summer,,784.97,No,Standard,PayPal,4582
Jacket,L,Pink,Outerwear,Winter,5,67,No,Express,Venmo,3287
Shoes,L,White,Accessories,Summer,,478.64,Yes,Express,Cash,4808
Watch,M,Blue,Accessories,Winter,,,No,Standard,Credit Card,4486
Headphones,L,Red,Accessories,Autumn,,,No,Express,Credit Card,4586
Jewelry,L,Lavender,Accessories,Fall,3.8,89,No,2-Day Shipping,Debit Card,1768
Shoes,L,Red,Accessories,Autumn,5,454,No,Express,Debit Card,4245
Handbag,L,Brown,Accessories,Fall,4.1,77,No,Express,Venmo,2619
Sunglasses,M,Yellow,Accessories,Fall,4.7,44,No,Express,Bank Transfer,2671
Hat,M,Green,Accessories,Winter,4.1,46,No,Store Pickup,Cash,3377
Headphones,L,White,Accessories,Spring,,,No,Express,Credit Card,4397
Sandals,M,Violet,Footwear,Spring,3.2,35,No,Free Shipping,Cash,3329
Watch,M,Red,Accessories,Spring,,,No,Standard,Credit Card,4276
Shoes,L,Lavender,Footwear,Fall,4.6,96,Yes,Next Day Air,Cash,809
Shoes,L,White,Accessories,Summer,4,,No,Standard,Debit Card,4842
Sandals,M,Orange,Footwear,Winter,2.8,78,No,2-Day Shipping,Bank Transfer,1846
Hat,M,Pink,Accessories,Summer,3.4,42,No,2-Day Shipping,Credit Card,3879
Sandals,L,Silver,Footwear,Winter,2.6,58,No,Express,PayPal,3836
Boots,M,Teal,Footwear,Summer,4.9,35,No,2-Day Shipping,Bank Transfer,1906
Socks,S,Beige,Clothing,Summer,2.9,83,Yes,Free Shipping,Cash,225
Skirt,S,Gray,Clothing,Spring,3.3,33,Yes,Standard,PayPal,1482
Phone,L,White,Clothing,Winter,4,,No,Express,Debit Card,4323
Hat,L,Magenta,Accessories,Spring,2.7,38,Yes,Express,Venmo,203
Gloves,S,Lavender,Accessories,Spring,2.8,74,Yes,Express,Cash,259
Headphones,M,Black,Accessories,Spring,3,377.18,No,Standard,Credit Card,5075
Hoodie,M,Olive,Clothing,Fall,3,50,No,Free Shipping,PayPal,3118
Shirt,M,Peach,Clothing,Summer,4.1,73,No,Standard,Credit Card,2473
Jeans,L,Red,Clothing,Summer,4.1,82,No,2-Day Shipping,Debit Card,2277
Sandals,S,Black,Footwear,Summer,3.8,34,No,Next Day Air,Venmo,2238
Coat,L,White,Outerwear,Summer,4.6,27,Yes,Express,Venmo,374
Jeans,S,Orange,Clothing,Spring,3.1,88,No,Next Day Air,Venmo,3567
Watch,,Blue,Electronics,Spring,,,No,Standard,Debit Card,4455
Handbag,XL,Charcoal,Accessories,Spring,4.5,61,Yes,Express,Credit Card,1408
Shorts,M,Blue,Clothing,Summer,3,91,Yes,2-Day Shipping,PayPal,1356
Shorts,M,Violet,Clothing,Winter,2.5,32,No,Express,Debit Card,2186
Coat,M,Yellow,Outerwear,Fall,4.5,85,Yes,2-Day Shipping,Credit Card,290
Handbag,M,Black,Accessories,Summer,4.4,78,No,Express,Debit Card,1843
Dress,M,Turquoise,Clothing,Summer,4.1,40,Yes,Standard,Bank Transfer,84
Scarf,L,Olive,Accessories,Fall,4.1,88,Yes,Standard,Credit Card,231
Boots,M,Teal,Footwear,Fall,3.4,54,Yes,Store Pickup,Venmo,754
Hoodie,L,Gold,Clothing,Winter,4.9,98,No,2-Day Shipping,Venmo,1993
Phone,S,Black,Accessories,Autumn,4,,No,Standard,PayPal,4183
Socks,M,Red,Clothing,Winter,4.5,69,Yes,Standard,Cash,1222
Watch,,Blue,Electronics,Spring,1,639.97,Yes,Express,Cash,4469
Dress,L,Green,Clothing,Summer,3.9,71,No,Standard,PayPal,2992
Sneakers,M,Olive,Footwear,Summer,2.5,49,No,Next Day Air,Debit Card,3231
,L,Olive,Clothing,Summer,4,75,No,Store Pickup,Venmo,2641
Belt,M,Black,Accessories,Spring,4.6,20,Yes,Express,Cash,978
Boots,L,Olive,Footwear,Fall,3.7,72,Yes,Next Day Air,Debit Card,962
Belt,S,Indigo,Accessories,Fall,3.4,73,Yes,Express,Credit Card,1185
Boots,M,Black,Footwear,Summer,3.6,95,Yes,Free Shipping,Credit Card,1449
Jewelry,M,Purple,Accessories,Winter,4.4,98,Yes,Standard,PayPal,1470
Jeans,L,Gray,Clothing,Winter,3.9,39,Yes,Free Shipping,Bank Transfer,473
Hat,M,Magenta,Accessories,Fall,3.5,27,No,Store Pickup,Venmo,3614
Hat,M,Blue,Accessories,Winter,4.1,83,No,Standard,PayPal,3544
Socks,M,Purple,Clothing,Fall,3.4,60,No,Store Pickup,Venmo,2452
Shirt,XL,Red,Clothing,Summer,5,938.96,No,Standard,Cash,4273
Headphones,XL,Red,Clothing,Summer,,,Yes,Express,Debit Card,4025
Hat,M,Purple,Accessories,Summer,4,79,No,Express,Cash,1817
Jeans,L,Magenta,Clothing,Spring,4.4,58,No,Store Pickup,Credit Card,2487
Hoodie,M,Orange,Clothing,Summer,4.7,91,Yes,Express,Credit Card,690
Socks,S,Charcoal,Clothing,Summer,2.6,86,No,Next Day Air,Debit Card,2533
Sandals,S,Beige,Footwear,Spring,3.2,68,Yes,2-Day Shipping,Debit Card,1292
Sneakers,XL,Teal,Footwear,Fall,3.4,84,No,2-Day Shipping,Cash,3239
Sweater,XL,Charcoal,Clothing,Winter,2.7,100,Yes,Store Pickup,Bank Transfer,582
T-shirt,XL,Magenta,Clothing,Fall,3.1,88,No,Standard,Bank Transfer,2557
T-shirt,M,Lavender,Clothing,Summer,4.6,64,No,Standard,Credit Card,1873
Dress,M,Teal,Clothing,Spring,3.2,39,No,Standard,Credit Card,2893
Jewelry,M,Gray,Accessories,Summer,3,87,No,Express,Cash,3458
Shoes,M,White,Footwear,Fall,3.1,90,No,Store Pickup,Credit Card,1960
Laptop,L,Green,Accessories,Spring,5,1495.94,No,Express,Credit Card,4219
Jewelry,M,Black,Accessories,Winter,2.5,96,No,2-Day Shipping,Debit Card,3235
Bag,,Green,Electronics,Autumn,3,1103.56,No,Standard,Debit Card,5081
Gloves,M,Pink,Accessories,Winter,4.2,77,No,Free Shipping,Venmo,1955
Hoodie,L,Blue,Clothing,Fall,4.1,44,Yes,Standard,PayPal,848
Skirt,M,Blue,Clothing,Spring,4.9,86,No,Store Pickup,Credit Card,3278
Pants,L,Gold,Clothing,Spring,4.4,28,Yes,Express,Credit Card,1101
Backpack,L,Orange,Accessories,Summer,2.9,63,No,Store Pickup,PayPal,2331
T-shirt,M,Peach,Clothing,Fall,3.5,94,Yes,Express,Bank Transfer,553
Phone,,Black,Electronics,Spring,,,No,Express,Cash,5005
T-shirt,S,Red,Clothing,Fall,3.3,32,No,Standard,Venmo,3325
Belt,XL,Charcoal,Accessories,Spring,4.6,20,No,Next Day Air,Cash,1756
Bag,XL,Red,Clothing,Winter,5,,Yes,Standard,Debit Card,4737
Gloves,M,Green,Accessories,Fall,4,27,Yes,Express,Credit Card,168
Backpack,L,Silver,Accessories,Summer,2.9,21,Yes,Standard,PayPal,692
Shirt,M,Teal,Clothing,Fall,3.9,87,Yes,2-Day Shipping,Venmo,511
Backpack,L,Peach,Accessories,Fall,2.9,63,No,Next Day Air,Credit Card,2376
Shirt,,Green,Electronics,Spring,5,,Yes,Standard,Debit Card,4322
Boots,M,Indigo,Footwear,Winter,4.2,40,No,Express,Debit Card,3069
Skirt,L,Black,Clothing,Winter,2.5,36,No,Store Pickup,Cash,2988
Sneakers,M,Black,Footwear,Spring,3.2,96,No,2-Day Shipping,Bank Transfer,3331
Watch,L,Blue,Clothing,Autumn,2,1080.39,No,Standard,Credit Card,4974
Dress,L,Green,Clothing,Winter,3.2,66,Yes,2-Day Shipping,Cash,599
Shoes,,Blue,Electronics,Summer,,,No,Standard,Cash,4923
Coat,XL,Yellow,Outerwear,Fall,3.9,94,No,Store Pickup,PayPal,2266
Skirt,M,Gold,Clothing,Spring,4.6,20,Yes,Store Pickup,Credit Card,295
Phone,,Green,Electronics,Summer,,726.15,Yes,Express,Cash,4721
Laptop,S,Black,Clothing,Spring,,1310.4,No,Express,Cash,5067
Laptop,,White,Electronics,Summer,5,,Yes,Express,Debit Card,4760
Pants,M,Lavender,Clothing,Winter,2.7,69,Yes,Next Day Air,Bank Transfer,1334
Blouse,XL,Silver,Clothing,Fall,4.2,44,No,2-Day Shipping,Cash,3321
Hat,XL,Teal,Accessories,Fall,3.1,31,Yes,Free Shipping,Debit Card,1321
Boots,M,Violet,Footwear,Fall,4.9,31,Yes,Store Pickup,Bank Transfer,180
Skirt,M,Pink,Clothing,Winter,3.8,83,No,Standard,Bank Transfer,1710
Sandals,M,Lavender,Footwear,Fall,4,26,No,Free Shipping,PayPal,3023
Sweater,M,Beige,Clothing,Fall,4.5,33,Yes,2-Day Shipping,Venmo,385
Socks,M,Indigo,Clothing,Winter,3.5,79,No,2-Day Shipping,Debit Card,2316
Coat,M,Gold,Outerwear,Winter,4.5,72,Yes,Express,Venmo,13
Sunglasses,S,Blue,Accessories,Winter,2.6,76,Yes,Standard,Bank Transfer,668
Shirt,XL,White,Clothing,Summer,2,1131.2,Yes,Standard,Credit Card,4123
Socks,L,Magenta,Clothing,Summer,3.4,29,No,Store Pickup,Credit Card,1879
Jewelry,M,Silver,Accessories,Summer,3.1,82,No,Store Pickup,Cash,2048
Jeans,S,Yellow,Clothing,Spring,3.7,47,Yes,Express,Bank Transfer,935
Socks,S,Green,Clothing,Winter,4.1,32,No,Next Day Air,Bank Transfer,2018
Jewelry,M,Maroon,Accessories,Spring,5,68,No,2-Day Shipping,Debit Card,3647
Laptop,S,Red,Clothing,Winter,3,,Yes,Standard,Debit Card,5071
Jewelry,M,White,Accessories,Spring,2.9,91,No,Express,Venmo,2997
